Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
0b8339ab-4ea4-39cb-89f8-bded4ddc7bff,HEALTHY BEGINNINGS -  FRENCH CAMP,500 WEST HOSPITAL ROAD  SUITE A,FRENCH CAMP,CA,952319693,37.886327,-121.28297548125127,2094686147,0.0,31
bf5c8080-2932-33cd-a909-544a6cf35968,COUNTY OF RIVERSIDE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,9514864458,0.0,8
4540ecfc-9ac2-39e0-a54a-8c6f281c83e7,PLATINUM MEDICAL CARE,11100 WARNER AVE,FOUNTAIN VALLEY,CA,927087511,33.715711299999995,-117.9358160462603,7146419696,0.0,29
95e87823-4b8c-3053-8bd8-1d5cb1b66693,J'ESSENTIAL HEALTH & WELLNESS LLC,3755 BEACON AVE,FREMONT,CA,945381411,37.5482633,-121.98275783926128,7078620222,0.0,15
165b6ac2-0973-39e8-834c-2294793473ea,HEALTHCARE IN ACTION MEDICAL GROUP,3800 KILROY AIRPORT WAY,LONG BEACH,CA,908066818,33.8072155,-118.1445534,6174079515,0.0,29
7ad569f9-d40f-367e-a0dc-9cd65ec0b010,LEMI MEDICAL CENTER PROFESSIONAL CORPORATION,1838 EL CAMINO REAL,BURLINGAME,CA,940103105,37.5857143,-122.3689209,6506970361,0.0,20
c0c76cf5-cb44-33cf-9897-dc9cdd38991c,DEPT OF STATE HOSPITALS - NAPA,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,945586234,38.2795246,-122.2998321,7072535000,0.0,6
6e2d7cdb-1abc-30ac-807a-c7fb14733a29,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,945454339,37.63320025,-122.08790356843016,5107826200,0.0,6
a5e9d63d-9eef-3426-aacd-8391a5ddaee4,AHMC SETON MEDICAL CENTER LLC,1900 SULLIVAN AVE,MOSS BEACH,CA,940389641,37.52011950000001,-122.5096690223618,6509924000,0.0,4
277ee93e-4993-3aa9-abae-f312abff52be,STEPHEN PATT MD CENTER FOR FAMILY PRACTICE AND ENTERTAINMENT MEDICINE,2001 SANTA MONICA BLVD,SANTA MONICA,CA,904042194,34.0290917,-118.47996704613743,3105821114,0.0,32
a0c63140-c437-3c5e-93dd-cbdfaf7eb93d,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CA,945202267,37.9835342,-122.03326853469336,9256828200,0.0,2
9afa5d3c-7ee6-3f21-9b1b-5591edfe1edb,INGHAM HEALTHCARE A PROFESSIONAL CORPORATION,1999 S BASCOM AVE STE 1020,CAMPBELL,CA,950082206,37.28777715,-121.93521282508343,6507222611,0.0,76
8b2ec3b3-4e89-37ec-8d84-906506468ede,COUNTY OF LOS ANGELES,7601 IMPERIAL HWY,DOWNEY,CA,902423456,33.9404441,-118.1292846,5624016677,0.0,2
0072bb4c-2b6a-38df-80fa-149efbc6f22f,PACIFIC COAST FAMILY MEDICINE,3816 WOODRUFF AVE STE 410,LONG BEACH,CA,908082146,33.82809,-118.1152833,5022972659,0.0,66
